Pressure H2 CO2 H2O CH4 He
100000.0 90.0 0.1 0.1 0.1 9.7
36800.0 90.0 0.1 0.1 0.1 9.7
13500.0 90.0 0.1 0.1 0.1 9.7
4980.0 90.0 0.1 0.1 0.1 9.7
1830.0 90.0 0.1 0.1 0.1 9.7
674.0 90.0 0.1 0.1 0.1 9.7
248.0 90.0 0.1 0.1 0.1 9.7
91.2 90.0 0.1 0.1 0.1 9.7
33.5 90.0 0.1 0.1 0.1 9.7
12.3 90.0 0.1 0.1 0.1 9.7
4.54 90.0 0.1 0.1 0.1 9.7
1.67 90.0 0.1 0.1 0.1 9.7
0.614 90.0 0.1 0.1 0.1 9.7
0.226 90.0 0.1 0.1 0.1 9.7
0.0832 90.0 0.1 0.1 0.1 9.7
0.0306 90.0 0.1 0.1 0.1 9.7
0.0113 90.0 0.1 0.1 0.1 9.7
0.00414 90.0 0.1 0.1 0.1 9.7
0.00152 90.0 0.1 0.1 0.1 9.7
0.00056 90.0 0.1 0.1 0.1 9.7
0.000206 90.0 0.1 0.1 0.1 9.7
7.58e-05 90.0 0.1 0.1 0.1 9.7
2.79e-05 90.0 0.1 0.1 0.1 9.7
1.03e-05 90.0 0.1 0.1 0.1 9.7
