Pressure H2 CH4 He
100000.0 70.0 5.0 25.0
36800.0 70.0 5.0 25.0
13500.0 70.0 5.0 25.0
4980.0 70.0 5.0 25.0
1830.0 70.0 5.0 25.0
674.0 70.0 5.0 25.0
248.0 70.0 5.0 25.0
91.2 70.0 5.0 25.0
33.5 70.0 5.0 25.0
12.3 70.0 5.0 25.0
4.54 70.0 5.0 25.0
1.67 70.0 5.0 25.0
0.614 70.0 5.0 25.0
0.226 70.0 5.0 25.0
0.0832 70.0 5.0 25.0
0.0306 70.0 5.0 25.0
0.0113 70.0 5.0 25.0
0.00414 70.0 5.0 25.0
0.00152 70.0 5.0 25.0
0.00056 70.0 5.0 25.0
0.000206 70.0 5.0 25.0
7.58e-05 70.0 5.0 25.0
2.79e-05 70.0 5.0 25.0
1.03e-05 70.0 5.0 25.0
