Pressure H2 CO2 O2 N2
100000.0 10.0 70.0 10.0 10.0
36800.0 10.0 70.0 10.0 10.0
13500.0 10.0 70.0 10.0 10.0
4980.0 10.0 70.0 10.0 10.0
1830.0 10.0 70.0 10.0 10.0
674.0 10.0 70.0 10.0 10.0
248.0 10.0 70.0 10.0 10.0
91.2 10.0 70.0 10.0 10.0
33.5 10.0 70.0 10.0 10.0
12.3 10.0 70.0 10.0 10.0
4.54 10.0 70.0 10.0 10.0
1.67 10.0 70.0 10.0 10.0
0.614 10.0 70.0 10.0 10.0
0.226 10.0 70.0 10.0 10.0
0.0832 10.0 70.0 10.0 10.0
0.0306 10.0 70.0 10.0 10.0
0.0113 10.0 70.0 10.0 10.0
0.00414 10.0 70.0 10.0 10.0
0.00152 10.0 70.0 10.0 10.0
0.00056 10.0 70.0 10.0 10.0
0.000206 10.0 70.0 10.0 10.0
7.58e-05 10.0 70.0 10.0 10.0
2.79e-05 10.0 70.0 10.0 10.0
1.03e-05 10.0 70.0 10.0 10.0
