Pressure H2O CO2 CH4 O2 O3 N2
1.000e+05 0.02 0.0407 0.000178 21 1.78e-06 78.96
7.943e+04 0.02 0.0407 0.000178 21 2.48e-06 78.96
6.310e+04 0.02 0.0407 0.000178 21 3.47e-06 78.96
5.012e+04 0.02 0.0407 0.000178 21 4.84e-06 78.96
3.981e+04 0.02 0.0407 0.000178 21 6.76e-06 78.96
3.162e+04 0.02 0.0407 0.000178 21 9.44e-06 78.96
2.512e+04 0.02 0.0407 0.000178 21 1.32e-05 78.96
1.995e+04 0.02 0.0407 0.000178 21 1.79e-05 78.96
1.585e+04 0.02 0.0407 0.000178 21 2.58e-05 78.96
1.259e+04 0.02 0.0407 0.000178 21 3.73e-05 78.96
1.000e+04 0.02 0.0407 0.000178 21 5.39e-05 78.96
7.943e+03 0.02 0.0407 0.000178 21 7.79e-05 78.96
6.310e+03 0.02 0.0407 0.000178 21 0.000113 78.96
5.012e+03 0.02 0.0407 0.000178 21 0.000163 78.96
3.981e+03 0.02 0.0407 0.000178 21 0.000235 78.96
3.162e+03 0.02 0.0407 0.000178 21 0.00034 78.96
2.512e+03 0.02 0.0407 0.00016 21 0.000492 78.96
1.995e+03 0.02 0.0407 0.000139 21 0.000708 78.96
1.585e+03 0.02 0.0407 0.000121 21 0.000708 78.96
1.259e+03 0.02 0.0407 0.000106 21 0.000708 78.96
1.000e+03 0.02 0.0407 9.2e-05 21 0.000708 78.96
7.943e+02 0.02 0.0407 8.01e-05 21 0.000708 78.96
6.310e+02 0.02 0.0407 6.98e-05 21 0.000708 78.96
5.012e+02 0.02 0.0407 6.08e-05 21 0.000708 78.96
3.981e+02 0.0 0.0407 5.29e-05 21 0.000708 78.96
3.162e+02 0.0 0.0407 4.61e-05 21 0.000708 78.96
2.512e+02 0.0 0.0407 4.02e-05 21 0.000708 78.96
1.995e+02 0.0 0.0407 3.5e-05 21 0.000707 78.96
1.585e+02 0.0 0.0407 3.05e-05 21 0.000588 78.96
1.259e+02 0.0 0.0407 2.65e-05 21 0.000489 78.96
1.000e+02 0.0 0.0407 2.31e-05 21 0.000407 78.96
7.943e+01 0.0 0.0407 2.01e-05 21 0.000338 78.96
6.310e+01 0.0 0.0407 1.75e-05 21 0.000281 78.96
5.012e+01 0.0 0.0407 1.53e-05 21 0.000234 78.96
3.981e+01 0.0 0.0407 1.33e-05 21 0.000195 78.96
3.162e+01 0.0 0.0407 1.16e-05 21 0.000162 78.96
2.512e+01 0.0 0.0407 1.01e-05 21 0.000135 78.96
1.995e+01 0.0 0.0407 8.78e-06 21 0.000112 78.96
1.585e+01 0.0 0.0407 7.65e-06 21 9.31e-05 78.96
1.259e+01 0.0 0.0407 6.66e-06 21 7.75e-05 78.96
1.000e+01 0.0 0.0407 5.8e-06 21 6.44e-05 78.96
7.943e+00 0.0 0.0407 5.06e-06 21 5.36e-05 78.96
6.310e+00 0.0 0.0407 4.4e-06 21 4.46e-05 78.96
5.012e+00 0.0 0.0407 3.83e-06 21 3.71e-05 78.96
3.981e+00 0.0 0.0407 3.34e-06 21 3.08e-05 78.96
3.162e+00 0.0 0.0407 2.91e-06 21 2.57e-05 78.96
2.512e+00 0.0 0.0407 2.53e-06 21 2.13e-05 78.96
