Pressure H2O CO2 CH4 O2 O3 N2
100000.0 3.0 0.0407 0.000178 21.0 0.000708 75.958414
36800.0 3.0 0.0407 0.000178 21.0 0.000708 75.958414
13500.0 3.0 0.0407 0.000178 21.0 0.000708 75.958414
4980.0 3.0 0.0407 0.000178 21.0 0.000708 75.958414
1830.0 3.0 0.0407 0.000178 21.0 0.000708 75.958414
674.0 3.0 0.0407 0.000178 21.0 0.000708 75.958414
248.0 3.0 0.0407 0.000178 21.0 0.000708 75.958414
91.2 3.0 0.0407 0.000178 21.0 0.000708 75.958414
33.5 3.0 0.0407 0.000178 21.0 0.000708 75.958414
12.3 3.0 0.0407 0.000178 21.0 0.000708 75.958414
4.54 3.0 0.0407 0.000178 21.0 0.000708 75.958414
1.67 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.614 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.226 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.0832 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.0306 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.0113 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.00414 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.00152 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.00056 3.0 0.0407 0.000178 21.0 0.000708 75.958414
0.000206 3.0 0.0407 0.000178 21.0 0.000708 75.958414
7.58e-05 3.0 0.0407 0.000178 21.0 0.000708 75.958414
2.79e-05 3.0 0.0407 0.000178 21.0 0.000708 75.958414
1.03e-05 3.0 0.0407 0.000178 21.0 0.000708 75.958414
